,model,ave,,amp
0,BCC-CSM1-1,-0.291600108,BCC-CSM1-1,-0.1754849
1,CCSM4,-0.24574542,CCSM4,-0.1790998
2,CESM2,-0.325085878,CESM2,-0.52637815
3,CNRM-CM5,-0.202415347,CNRM-CM5,-0.13416839
4,CNRM-CM6-1,-0.325510621,CNRM-CM6-1,0.5703511
5,CSIRO-Mk3-6-0,-0.126123428,CSIRO-Mk3-6-0,0.6964818
6,CSIRO-Mk3L-1-2,-0.154520949,CSIRO-Mk3L-1-2,0.056281924
7,FGOALS-f3-L,-0.250898798,FGOALS-f3-L,-0.1232357
8,FGOALS-g2,-0.007613659,FGOALS-g2,0.22791469
9,FGOALS-g3,-0.166212201,FGOALS-g3,0.33652854
10,FGOALS-s2,-0.138009032,FGOALS-s2,0.08342576
11,GISS-E2-1-G,-0.479135633,GISS-E2-1-G,0.40788388
12,GISS-E2-R,-0.014983694,GISS-E2-R,0.32123983
13,HadGEM2-ES,-0.241444707,HadGEM2-ES,0.3737545
14,HadGEM3-GC31-LL,-0.178088466,HadGEM3-GC31-LL,0.1018635
15,INM-CM4-8,-0.175494115,INM-CM4-8,0.23806119
16,IPSL-CM5A-LR,-0.607261221,IPSL-CM5A-LR,0.041697264
17,IPSL-CM6A-LR,-0.487655838,IPSL-CM6A-LR,-0.09432697
18,,,,
