,model,ave,,amp
1,BCC-CSM1-1,4.561778704,BCC-CSM1-1,-0.1754849
2,CCSM4,3.919140816,CCSM4,-0.1790998
3,CESM2,6.369974772,CESM2,-0.52637815
4,CNRM-CM5,4.691335042,CNRM-CM5,-0.13416839
5,CNRM-CM6-1,6.060640971,CNRM-CM6-1,0.5703511
6,CSIRO-Mk3-6-0,4.409497261,CSIRO-Mk3-6-0,0.6964818
7,CSIRO-Mk3L-1-2,4.257549604,CSIRO-Mk3L-1-2,0.056281924
8,FGOALS-f3-L,5.058697701,FGOALS-f3-L,-0.1232357
9,FGOALS-g2,5.148632685,FGOALS-g2,0.22791469
10,FGOALS-g3,4.032727559,FGOALS-g3,0.33652854
11,FGOALS-s2,3.962988218,FGOALS-s2,0.08342576
12,GISS-E2-1-G,2.774078369,GISS-E2-1-G,0.40788388
13,GISS-E2-R,3.662309647,GISS-E2-R,0.32123983
14,HadGEM2-ES,6.140566508,HadGEM2-ES,0.3737545
15,HadGEM3-GC31-LL,6.931233724,HadGEM3-GC31-LL,0.1018635
16,INM-CM4-8,3.414723078,INM-CM4-8,0.23806119
17,IPSL-CM5A-LR,6.331765493,IPSL-CM5A-LR,0.041697264
18,IPSL-CM6A-LR,6.733455658,IPSL-CM6A-LR,-0.09432697
19,MIROC-ES2L,3.917747498,MIROC-ES2L,0.25215143
20,MIROC-ESM,5.982192993,MIROC-ESM,-0.4819939
21,MPI-ESM-P,5.800470352,MPI-ESM-P,0.7377808
22,MPI-ESM1-2-LR,5.038699468,MPI-ESM1-2-LR,0.11190367
23,MRI-CGCM3,4.519294103,MRI-CGCM3,-0.083785534
24,MRI-ESM2-0,4.164925257,MRI-ESM2-0,0.034499884
25,NESM3,7.03051885,NESM3,-0.040436268
