,model,ave,,amp
1,BCC-CSM1-1,0.742383003,BCC-CSM1-1,-0.1754849
2,CCSM4,0.543385585,CCSM4,-0.1790998
3,CESM2,0.972801208,CESM2,-0.52637815
4,CNRM-CM5,0.564439098,CNRM-CM5,-0.13416839
5,CNRM-CM6-1,0.968033314,CNRM-CM6-1,0.5703511
6,CSIRO-Mk3-6-0,0.531257153,CSIRO-Mk3-6-0,0.6964818
7,CSIRO-Mk3L-1-2,0.439319571,CSIRO-Mk3L-1-2,0.056281924
8,FGOALS-f3-L,0.909374873,FGOALS-f3-L,-0.1232357
9,FGOALS-g2,0.671048959,FGOALS-g2,0.22791469
10,FGOALS-g3,0.686535279,FGOALS-g3,0.33652854
11,FGOALS-s2,0.695719401,FGOALS-s2,0.08342576
12,GISS-E2-1-G,0.136374315,GISS-E2-1-G,0.40788388
13,GISS-E2-R,0.48726658,GISS-E2-R,0.32123983
14,HadGEM2-ES,0.745346149,HadGEM2-ES,0.3737545
15,HadGEM3-GC31-LL,0.752885818,HadGEM3-GC31-LL,0.1018635
16,INM-CM4-8,0.635044257,INM-CM4-8,0.23806119
17,IPSL-CM5A-LR,1.21069169,IPSL-CM5A-LR,0.041697264
18,IPSL-CM6A-LR,1.173377673,IPSL-CM6A-LR,-0.09432697
