,model,ave,,amp
1,BCC-CSM1-1,10.37134488,BCC-CSM1-1,-0.1754849
2,CCSM4,5.120182673,CCSM4,-0.1790998
3,CESM2,5.489842097,CESM2,-0.52637815
4,CNRM-CM5,7.9864947,CNRM-CM5,-0.13416839
5,CNRM-CM6-1,8.084583282,CNRM-CM6-1,0.5703511
6,CSIRO-Mk3-6-0,11.97576904,CSIRO-Mk3-6-0,0.6964818
7,CSIRO-Mk3L-1-2,8.322166443,CSIRO-Mk3L-1-2,0.056281924
8,FGOALS-f3-L,10.03248088,FGOALS-f3-L,-0.1232357
9,FGOALS-g2,9.478171031,FGOALS-g2,0.22791469
10,FGOALS-g3,8.522773743,FGOALS-g3,0.33652854
11,FGOALS-s2,6.406578064,FGOALS-s2,0.08342576
12,GISS-E2-1-G,2.937088331,GISS-E2-1-G,0.40788388
13,GISS-E2-R,7.206197739,GISS-E2-R,0.32123983
14,HadGEM2-ES,8.923931122,HadGEM2-ES,0.3737545
15,HadGEM3-GC31-LL,12.10099538,HadGEM3-GC31-LL,0.1018635
16,INM-CM4-8,6.217147191,INM-CM4-8,0.23806119
17,IPSL-CM5A-LR,11.37752533,IPSL-CM5A-LR,0.041697264
18,IPSL-CM6A-LR,11.02204641,IPSL-CM6A-LR,-0.09432697
19,MIROC-ES2L,6.940846125,MIROC-ES2L,0.25215143
20,MIROC-ESM,8.21745046,MIROC-ESM,-0.4819939
21,MPI-ESM-P,8.846102397,MPI-ESM-P,0.7377808
22,MPI-ESM1-2-LR,8.225814819,MPI-ESM1-2-LR,0.11190367
23,MRI-CGCM3,7.919883092,MRI-CGCM3,-0.083785534
24,MRI-ESM2-0,4.703630765,MRI-ESM2-0,0.034499884
25,NESM3,11.33233261,NESM3,-0.040436268
