,model,ave,,amp
0,ACCESS-ESM1-5,0.553692182,BCC-CSM1-1,-0.1754849
1,BCC-CSM1-1,0.424957275,CCSM4,-0.1790998
2,CESM2,0.883282741,CESM2,-0.52637815
3,CNRM-CM5,0.293221871,CNRM-CM5,-0.13416839
4,CNRM-CM6-1,0.650106192,CNRM-CM6-1,0.5703511
5,CSIRO-Mk3-6-0,0.649831533,CSIRO-Mk3-6-0,0.6964818
6,CSIRO-Mk3L-1-2,0.359954516,CSIRO-Mk3L-1-2,0.056281924
7,FGOALS-f3-L,0.660092354,FGOALS-f3-L,-0.1232357
8,FGOALS-g2,0.771731297,FGOALS-g2,0.22791469
9,FGOALS-g3,0.434914986,FGOALS-g3,0.33652854
10,FGOALS-s2,0.930184205,FGOALS-s2,0.08342576
11,GISS-E2-1-G,0.182730357,GISS-E2-1-G,0.40788388
12,GISS-E2-R,0.259550214,GISS-E2-R,0.32123983
13,HadGEM2-ES,0.579452038,HadGEM2-ES,0.3737545
14,HadGEM3-GC31-LL,0.480524262,HadGEM3-GC31-LL,0.1018635
15,INM-CM4-8,0.458787243,INM-CM4-8,0.23806119
16,IPSL-CM5A-LR,0.45588994,IPSL-CM5A-LR,0.041697264
17,IPSL-CM6A-LR,0.81214873,IPSL-CM6A-LR,-0.09432697
18,,,,
