,model,ave,,amp
1,BCC-CSM1-1,6.716972987,BCC-CSM1-1,-0.1754849
2,CCSM4,4.456047058,CCSM4,-0.1790998
3,CESM2,6.778270721,CESM2,-0.52637815
4,CNRM-CM5,6.482991536,CNRM-CM5,-0.13416839
5,CNRM-CM6-1,7.575673421,CNRM-CM6-1,0.5703511
6,CSIRO-Mk3-6-0,6.193583171,CSIRO-Mk3-6-0,0.6964818
7,CSIRO-Mk3L-1-2,5.906620026,CSIRO-Mk3L-1-2,0.056281924
8,FGOALS-f3-L,7.139823278,FGOALS-f3-L,-0.1232357
9,FGOALS-g2,8.511787415,FGOALS-g2,0.22791469
10,FGOALS-g3,6.340349833,FGOALS-g3,0.33652854
11,FGOALS-s2,4.874619484,FGOALS-s2,0.08342576
12,GISS-E2-1-G,2.259535789,GISS-E2-1-G,0.40788388
13,GISS-E2-R,5.070462863,GISS-E2-R,0.32123983
14,HadGEM2-ES,7.508708318,HadGEM2-ES,0.3737545
15,HadGEM3-GC31-LL,9.153202057,HadGEM3-GC31-LL,0.1018635
16,INM-CM4-8,5.368438721,INM-CM4-8,0.23806119
17,IPSL-CM5A-LR,9.525473277,IPSL-CM5A-LR,0.041697264
18,IPSL-CM6A-LR,9.434211095,IPSL-CM6A-LR,-0.09432697
19,MIROC-ES2L,5.707330704,MIROC-ES2L,0.25215143
20,MIROC-ESM,6.79840978,MIROC-ESM,-0.4819939
21,MPI-ESM-P,7.710183462,MPI-ESM-P,0.7377808
22,MPI-ESM1-2-LR,6.489898682,MPI-ESM1-2-LR,0.11190367
23,MRI-CGCM3,5.344476064,MRI-CGCM3,-0.083785534
24,MRI-ESM2-0,4.764993032,MRI-ESM2-0,0.034499884
25,NESM3,8.371921539,NESM3,-0.040436268
