,model,ave,,amp
0,AWI-ESM-1-1-LR,-18.08219274,AWI-ESM-1-1-LR,-0.4928176
1,CCSM4,-21.99045563,CCSM4,-1.2377734
2,CNRM-CM5,-22.63976542,CNRM-CM5,-0.3236513
3,COSMOS-ASO,-19.28041077,COSMOS-ASO,-0.2287128
4,FGOALS-g2,-16.56514486,FGOALS-g2,-0.1770998
5,GISS-E2-R,-19.14481354,GISS-E2-R,-0.5989096
6,INM-CM4-8,-24.60629018,INM-CM4-8,0.17144322
7,IPSL-CM5A-LR,-18.46794891,IPSL-CM5A-LR,-1.3755172
8,MIROC-ES2L,-25.50343323,MIROC-ES2L,0.41162568
9,MIROC-ESM,-26.45145925,MIROC-ESM,0.11976945
10,MPI-ESM-P,-21.78854624,MPI-ESM-P,-0.6929575
11,MRI-CGCM3,-19.74569575,MRI-CGCM3,-1.576852
12,UofT-CCSM-4,-21.72383118,UofT-CCSM-4,-1.6071004
