,model,ave,,amp
0,AWI-ESM-1-1-LR,-8.607716878,AWI-ESM-1-1-LR,-0.49281764
1,CCSM4,-15.42336655,CCSM4,-1.2377734
2,CNRM-CM5,-10.69849396,CNRM-CM5,-0.3236513
3,COSMOS-ASO,-10.1448466,COSMOS-ASO,-0.2287128
4,FGOALS-g2,-10.92670568,FGOALS-g2,-0.17709982
5,GISS-E2-R,-13.87154261,GISS-E2-R,-0.5989096
6,INM-CM4-8,-17.16551971,INM-CM4-8,0.17144322
7,IPSL-CM5A-LR,-12.55262629,IPSL-CM5A-LR,-1.3755172
8,MIROC-ES2L,-15.13883972,MIROC-ES2L,0.41162568
9,MIROC-ESM,-15.84178289,MIROC-ESM,0.119769454
10,MPI-ESM-P,-13.18760935,MPI-ESM-P,-0.6929575
11,MRI-CGCM3,-11.71244431,MRI-CGCM3,-1.576852
12,UofT-CCSM-4,-16.11464945,UofT-CCSM-4,-1.6071004
