,model,ave,,amp
1,AWI-ESM-1-1-LR,-1.422046661,AWI-ESM-1-1-LR,-0.6175062
3,CNRM-CM6-1,-0.754798094,CNRM-CM6-1,-0.1380885
4,EC-Earth3-LR,-0.367034753,EC-Earth3-LR,-0.408438
5,FGOALS-f3-L,-1.142391682,FGOALS-f3-L,-0.0052543
6,FGOALS-g3,-0.670199076,FGOALS-g3,-0.2203
7,GISS-E2-1-G,-1.201508204,GISS-E2-1-G,-0.0547826
8,HadGEM3-GC31-LL,-0.389192581,HadGEM3-GC31-LL,0.03846908
9,INM-CM4-8,-1.322268168,INM-CM4-8,-0.1334336
10,IPSL-CM6A-LR,-1.51992782,IPSL-CM6A-LR,-0.1693726
11,MIROC-ES2L,-0.921660105,MIROC-ES2L,0.17428118
12,MPI-ESM1-2-LR,-1.472324848,MPI-ESM1-2-LR,-0.0893633
13,NESM3,-1.631391207,NESM3,0.44942522
14,NorESM1-F,-1.238886833,NorESM1-F,-0.1804235
15,NorESM2-LM,-0.684099356,NorESM2-LM,-0.1176329
