,model,ave,,amp
1,AWI-ESM-1-1-LR,-0.098959327,AWI-ESM-1-1-LR,-0.6175062
3,CNRM-CM6-1,0.045117259,CNRM-CM6-1,-0.1380885
4,EC-Earth3-LR,-0.076266011,EC-Earth3-LR,-0.408438
5,FGOALS-f3-L,-0.076826096,FGOALS-f3-L,-0.0052543
6,FGOALS-g3,-0.024594982,FGOALS-g3,-0.2203
7,GISS-E2-1-G,-0.01796929,GISS-E2-1-G,-0.0547826
8,HadGEM3-GC31-LL,-0.011184454,HadGEM3-GC31-LL,0.03846908
9,INM-CM4-8,-0.002191703,INM-CM4-8,-0.1334336
10,IPSL-CM6A-LR,-0.123087724,IPSL-CM6A-LR,-0.1693726
,,,,
,,,,
,,,,
,,,,
,,,,
