,model,ave,,amp
1,AWI-ESM-1-1-LR,-1.293845018,AWI-ESM-1-1-LR,-0.6175062
3,CNRM-CM6-1,0.491128445,CNRM-CM6-1,-0.1380885
4,EC-Earth3-LR,2.489163558,EC-Earth3-LR,-0.408438
5,FGOALS-f3-L,-0.183261236,FGOALS-f3-L,-0.0052543
6,FGOALS-g3,0.291842143,FGOALS-g3,-0.2203
7,GISS-E2-1-G,0.25484546,GISS-E2-1-G,-0.0547826
8,HadGEM3-GC31-LL,1.408191204,HadGEM3-GC31-LL,0.03846908
9,INM-CM4-8,-0.486344655,INM-CM4-8,-0.1334336
10,IPSL-CM6A-LR,-1.082219601,IPSL-CM6A-LR,-0.1693726
11,MIROC-ES2L,-1.061179956,MIROC-ES2L,0.17428118
12,MPI-ESM1-2-LR,-0.706470966,MPI-ESM1-2-LR,-0.0893633
13,NESM3,-1.509852409,NESM3,0.44942522
14,NorESM1-F,-0.95411094,NorESM1-F,-0.1804235
15,NorESM2-LM,-0.352208138,NorESM2-LM,-0.1176329
