,model,ave,,amp
1,AWI-ESM-1-1-LR,-1.772136847,AWI-ESM-1-1-LR,-0.61750615
2,CNRM-CM6-1,0.391137203,CNRM-CM6-1,-0.13808846
3,EC-Earth3-LR,1.128368696,EC-Earth3-LR,-0.40843797
4,FGOALS-f3-L,-0.297414978,FGOALS-f3-L,-0.005254269
5,FGOALS-g3,-0.057111343,FGOALS-g3,-0.22029996
6,GISS-E2-1-G,-0.21516782,GISS-E2-1-G,-0.05478263
7,HadGEM3-GC31-LL,0.502929688,HadGEM3-GC31-LL,0.038469076
8,INM-CM4-8,-0.798314333,INM-CM4-8,-0.13343358
9,IPSL-CM6A-LR,-1.06476903,IPSL-CM6A-LR,-0.16937256
10,MIROC-ES2L,-0.951094866,MIROC-ES2L,0.17428118
11,MPI-ESM1-2-LR,-0.894415061,MPI-ESM1-2-LR,-0.08936334
12,NESM3,-1.532437483,NESM3,0.44942522
13,NorESM1-F,-0.566660762,NorESM1-F,-0.1804235
14,NorESM2-LM,-0.041070124,NorESM2-LM,-0.117632866
15,,,,
