,model,ave,,amp
0,AWI-ESM-1-1-LR,-0.18874681,AWI-ESM-1-1-LR,-0.23800588
1,BCC-CSM1-1,-0.060796777,BCC-CSM1-1,-0.26201153
2,CCSM4,-0.084454179,CCSM4,-0.22277904
3,CESM2,-0.108017365,CESM2,-0.042402267
4,CNRM-CM5,-0.058920423,CNRM-CM5,0.11421776
5,CSIRO-Mk3-6-0,-0.157102267,CSIRO-Mk3-6-0,0.79372
6,CSIRO-Mk3L-1-2,-0.093868136,CSIRO-Mk3L-1-2,0.120867014
7,EC-EARTH-2-2,-0.103388786,EC-EARTH-2-2,0.07171512
8,EC-Earth3-LR,-0.059207757,EC-Earth3-LR,-0.2954402
9,FGOALS-f3-L,-0.125444015,FGOALS-f3-L,0.017935753
10,FGOALS-g2,-0.06009984,FGOALS-g2,-0.06809187
11,FGOALS-g3,-0.02774032,FGOALS-g3,-0.053324223
12,FGOALS-s2,-0.108201424,FGOALS-s2,-0.022966146
13,GISS-E2-1-G,-0.044088403,GISS-E2-1-G,0.12477517
14,GISS-E2-R,0.018847744,GISS-E2-R,0.16955173
15,HadGEM2-CC,-0.072282076,HadGEM2-CC,0.42916834
16,HadGEM2-ES,-0.082075516,HadGEM2-ES,0.13334107
17,HadGEM3-GC31-LL,-0.182309707,HadGEM3-GC31-LL,0.038234353
18,INM-CM4-8,-0.02242438,INM-CM4-8,-0.04933119
19,IPSL-CM5A-LR,-0.077199896,IPSL-CM5A-LR,0.073655844
20,IPSL-CM6A-LR,-0.121274829,IPSL-CM6A-LR,0.05557394
21,KCM1-2-2,-0.010038336,KCM1-2-2,0.17222166
