,model,ave,,amp
0,AWI-ESM-1-1-LR,-0.933656216,AWI-ESM-1-1-LR,-0.23800588
1,BCC-CSM1-1,-0.33886528,BCC-CSM1-1,-0.26201153
2,CCSM4,-0.581112385,CCSM4,-0.22277904
3,CESM2,-0.314519246,CESM2,-0.042402267
4,CNRM-CM5,-0.015628497,CNRM-CM5,0.11421776
5,CSIRO-Mk3-6-0,-0.230237325,CSIRO-Mk3-6-0,0.79372
6,CSIRO-Mk3L-1-2,-0.294618924,CSIRO-Mk3L-1-2,0.120867014
7,EC-EARTH-2-2,-0.469109376,EC-EARTH-2-2,0.07171512
8,EC-Earth3-LR,-0.195578257,EC-Earth3-LR,-0.2954402
9,FGOALS-f3-L,-0.492449284,FGOALS-f3-L,0.017935753
10,FGOALS-g2,-0.930484931,FGOALS-g2,-0.06809187
11,FGOALS-g3,-0.5064195,FGOALS-g3,-0.053324223
12,FGOALS-s2,-0.483853976,FGOALS-s2,-0.022966146
13,GISS-E2-1-G,-0.693733692,GISS-E2-1-G,0.12477517
14,GISS-E2-R,-0.241836707,GISS-E2-R,0.16955173
15,HadGEM2-CC,0.117619991,HadGEM2-CC,0.42916834
16,HadGEM2-ES,0.031045914,HadGEM2-ES,0.13334107
17,HadGEM3-GC31-LL,-0.410805066,HadGEM3-GC31-LL,0.038234353
18,INM-CM4-8,-0.662961642,INM-CM4-8,-0.04933119
19,IPSL-CM5A-LR,-0.108386119,IPSL-CM5A-LR,0.073655844
20,IPSL-CM6A-LR,-0.854489644,IPSL-CM6A-LR,0.05557394
21,MIROC-ES2L,-0.577923457,MIROC-ES2L,-0.21613306
22,MIROC-ESM,-0.603230476,MIROC-ESM,-0.037811995
23,MPI-ESM-P,-0.513587634,MPI-ESM-P,0.043530703
24,MPI-ESM1-2-LR,-0.796121438,MPI-ESM1-2-LR,0.047229767
25,MRI-CGCM3,-0.213249365,MRI-CGCM3,0.01850748
26,MRI-ESM2-0,-0.235606988,MRI-ESM2-0,-0.055270195
27,NESM3,-0.666632811,NESM3,0.24497104
28,NorESM1-F,-0.650672277,NorESM1-F,0.26624775
29,NorESM2-LM,-0.311992009,NorESM2-LM,-0.05121827
30,UofT-CCSM-4,-0.557066123,UofT-CCSM-4,0.49919224
