,model,ave,,amp
0,AWI-ESM-1-1-LR,-0.00607415,AWI-ESM-1-1-LR,-0.23800588
1,BCC-CSM1-1,-0.003296415,BCC-CSM1-1,-0.26201153
2,CCSM4,0.000912269,CCSM4,-0.22277904
3,CESM2,0.041021983,CESM2,-0.042402267
4,CNRM-CM5,0.034272591,CNRM-CM5,0.11421776
5,CSIRO-Mk3-6-0,0.119412621,CSIRO-Mk3-6-0,0.79372
6,CSIRO-Mk3L-1-2,0.03713127,CSIRO-Mk3L-1-2,0.120867014
7,EC-EARTH-2-2,0.105742892,EC-EARTH-2-2,0.07171512
8,EC-Earth3-LR,-0.020334204,EC-Earth3-LR,-0.2954402
9,FGOALS-f3-L,0.007416248,FGOALS-f3-L,0.017935753
10,FGOALS-g2,-0.054275592,FGOALS-g2,-0.06809187
11,FGOALS-g3,-0.032155236,FGOALS-g3,-0.053324223
12,FGOALS-s2,0.031257073,FGOALS-s2,-0.022966146
13,GISS-E2-1-G,-0.002542734,GISS-E2-1-G,0.12477517
14,GISS-E2-R,0.035062353,GISS-E2-R,0.16955173
15,HadGEM2-CC,-0.01342841,HadGEM2-CC,0.42916834
16,HadGEM2-ES,0.017251968,HadGEM2-ES,0.13334107
17,HadGEM3-GC31-LL,0.007762512,HadGEM3-GC31-LL,0.038234353
18,INM-CM4-8,0.005791028,INM-CM4-8,-0.04933119
19,IPSL-CM5A-LR,0.048499743,IPSL-CM5A-LR,0.073655844
20,IPSL-CM6A-LR,-0.044337471,IPSL-CM6A-LR,0.05557394
21,KCM1-2-2,0.029394229,KCM1-2-2,0.17222166
