,model,ave,,amp
0,AWI-ESM-1-1-LR,-0.449644248,AWI-ESM-1-1-LR,-0.2380059
1,BCC-CSM1-1,1.013728778,BCC-CSM1-1,-0.2620115
2,CCSM4,-0.472614447,CCSM4,-0.222779
3,CESM2,0.277622064,CESM2,-0.0424023
4,CNRM-CM5,1.357934952,CNRM-CM5,0.11421776
5,CSIRO-Mk3-6-0,1.03519694,CSIRO-Mk3-6-0,0.79372
6,CSIRO-Mk3L-1-2,0.572703997,CSIRO-Mk3L-1-2,0.12086701
7,EC-EARTH-2-2,1.288710594,EC-EARTH-2-2,0.07171512
8,EC-Earth3-LR,1.477979978,EC-Earth3-LR,-0.2954402
9,FGOALS-f3-L,-0.17121315,FGOALS-f3-L,0.01793575
10,FGOALS-g2,-0.8465964,FGOALS-g2,-0.0680919
11,FGOALS-g3,-0.563503265,FGOALS-g3,-0.0533242
12,FGOALS-s2,0.502461433,FGOALS-s2,-0.0229661
13,GISS-E2-1-G,0.325411479,GISS-E2-1-G,0.12477517
14,GISS-E2-R,0.901707649,GISS-E2-R,0.16955173
15,HadGEM2-CC,2.038581848,HadGEM2-CC,0.42916834
16,HadGEM2-ES,0.82383585,HadGEM2-ES,0.13334107
17,HadGEM3-GC31-LL,1.113802592,HadGEM3-GC31-LL,0.03823435
18,INM-CM4-8,-0.029123942,INM-CM4-8,-0.0493312
19,IPSL-CM5A-LR,0.305346171,IPSL-CM5A-LR,0.07365584
20,IPSL-CM6A-LR,-0.734004498,IPSL-CM6A-LR,0.05557394
21,MIROC-ES2L,-0.553717613,MIROC-ES2L,-0.2161331
22,MIROC-ESM,-0.179856141,MIROC-ESM,-0.037812
23,MPI-ESM-P,0.40840737,MPI-ESM-P,0.0435307
24,MPI-ESM1-2-LR,-0.290165742,MPI-ESM1-2-LR,0.04722977
25,MRI-CGCM3,0.362265587,MRI-CGCM3,0.01850748
26,MRI-ESM2-0,0.297559897,MRI-ESM2-0,-0.0552702
27,NESM3,0.92598772,NESM3,0.24497104
28,NorESM1-F,-0.756263415,NorESM1-F,0.26624775
29,NorESM2-LM,0.088175376,NorESM2-LM,-0.0512183
30,UofT-CCSM-4,-0.181888898,UofT-CCSM-4,0.49919224
