,model,ave,,amp
0,AWI-ESM-1-1-LR,-0.124870618,AWI-ESM-1-1-LR,-0.23800588
1,BCC-CSM1-1,-0.054839293,BCC-CSM1-1,-0.26201153
2,CCSM4,-0.045778831,CCSM4,-0.22277904
3,CESM2,-0.046480258,CESM2,-0.042402267
4,CNRM-CM5,0.023536642,CNRM-CM5,0.11421776
5,CSIRO-Mk3-6-0,-0.019693534,CSIRO-Mk3-6-0,0.79372
6,CSIRO-Mk3L-1-2,-0.001355926,CSIRO-Mk3L-1-2,0.120867014
7,EC-EARTH-2-2,-0.012823621,EC-EARTH-2-2,0.07171512
8,EC-Earth3-LR,-0.047884981,EC-Earth3-LR,-0.2954402
9,FGOALS-f3-L,-0.091197729,FGOALS-f3-L,0.017935753
10,FGOALS-g2,-0.145657301,FGOALS-g2,-0.06809187
11,FGOALS-g3,-0.056316455,FGOALS-g3,-0.053324223
12,FGOALS-s2,-0.115116835,FGOALS-s2,-0.022966146
13,GISS-E2-1-G,-0.054243485,GISS-E2-1-G,0.12477517
14,GISS-E2-R,0.018699805,GISS-E2-R,0.16955173
15,HadGEM2-CC,0.020660599,HadGEM2-CC,0.42916834
16,HadGEM2-ES,0.110406637,HadGEM2-ES,0.13334107
17,HadGEM3-GC31-LL,-0.06777068,HadGEM3-GC31-LL,0.038234353
18,INM-CM4-8,-0.055161357,INM-CM4-8,-0.04933119
19,IPSL-CM5A-LR,0.058324099,IPSL-CM5A-LR,0.073655844
20,IPSL-CM6A-LR,-0.062818368,IPSL-CM6A-LR,0.05557394
21,KCM1-2-2,-0.010930936,KCM1-2-2,0.17222166
