,model,ave,,amp
0,AWI-ESM-1-1-LR,-1.072063843,AWI-ESM-1-1-LR,-0.23800588
1,BCC-CSM1-1,0.116062641,BCC-CSM1-1,-0.26201153
2,CCSM4,-0.533917586,CCSM4,-0.22277904
3,CESM2,0.129137735,CESM2,-0.042402267
4,CNRM-CM5,0.854795615,CNRM-CM5,0.11421776
5,CSIRO-Mk3-6-0,0.664670149,CSIRO-Mk3-6-0,0.79372
6,CSIRO-Mk3L-1-2,0.307600896,CSIRO-Mk3L-1-2,0.120867014
7,EC-EARTH-2-2,0.528394143,EC-EARTH-2-2,0.07171512
8,EC-Earth3-LR,0.58804814,EC-Earth3-LR,-0.2954402
9,FGOALS-f3-L,-0.101385236,FGOALS-f3-L,0.017935753
10,FGOALS-g2,-1.092597961,FGOALS-g2,-0.06809187
11,FGOALS-g3,-0.302405516,FGOALS-g3,-0.053324223
12,FGOALS-s2,0.202765942,FGOALS-s2,-0.022966146
13,GISS-E2-1-G,-0.24943614,GISS-E2-1-G,0.12477517
14,GISS-E2-R,0.238427718,GISS-E2-R,0.16955173
15,HadGEM2-CC,1.323439519,HadGEM2-CC,0.42916834
16,HadGEM2-ES,1.152603785,HadGEM2-ES,0.13334107
17,HadGEM3-GC31-LL,0.234721343,HadGEM3-GC31-LL,0.038234353
18,INM-CM4-8,-0.320677559,INM-CM4-8,-0.04933119
19,IPSL-CM5A-LR,0.433031082,IPSL-CM5A-LR,0.073655844
20,IPSL-CM6A-LR,-0.601776838,IPSL-CM6A-LR,0.05557394
21,MIROC-ES2L,-0.37578098,MIROC-ES2L,-0.21613306
22,MIROC-ESM,-0.341417392,MIROC-ESM,-0.037811995
23,MPI-ESM-P,0.088754972,MPI-ESM-P,0.043530703
24,MPI-ESM1-2-LR,-0.499623537,MPI-ESM1-2-LR,0.047229767
25,MRI-CGCM3,-0.185651143,MRI-CGCM3,0.01850748
26,MRI-ESM2-0,0.282991588,MRI-ESM2-0,-0.055270195
27,NESM3,-0.217292786,NESM3,0.24497104
28,NorESM1-F,-0.483250459,NorESM1-F,0.26624775
29,NorESM2-LM,0.070261955,NorESM2-LM,-0.05121827
30,UofT-CCSM-4,-0.163982352,UofT-CCSM-4,0.49919224
