experiment,Amplitude,ensemble,run
midHolocene,2.2879357,midHolocene,expt
midHolocene,2.6578524,midHolocene,expt
midHolocene,2.7698612,midHolocene,expt
midHolocene,2.8015695,midHolocene,expt
midHolocene,1.9792614,midHolocene,expt
midHolocene,1.7290407,midHolocene,expt
midHolocene,1.1800784,midHolocene,expt
midHolocene,2.1357937,midHolocene,expt
midHolocene,2.4700496,midHolocene,expt
midHolocene,2.7663915,midHolocene,expt
midHolocene,1.2878448,midHolocene,expt
midHolocene,2.2771904,midHolocene,expt
midHolocene,2.848356,midHolocene,expt
midHolocene,2.4222152,midHolocene,expt
midHolocene,1.9627423,midHolocene,expt
midHolocene,2.343519,midHolocene,expt
midHolocene,2.2409742,midHolocene,expt
midHolocene,1.9054291,midHolocene,expt
midHolocene,1.5959445,midHolocene,expt
midHolocene,2.7276876,midHolocene,expt
midHolocene,2.6638894,midHolocene,expt
midHolocene,3.149112,midHolocene,expt
midHolocene,0.77253866,midHolocene,expt
midHolocene,1.7462593,midHolocene,expt
midHolocene,2.3015187,midHolocene,expt
midHolocene,2.301188,midHolocene,expt
midHolocene,2.9528646,midHolocene,expt
midHolocene,2.366313,midHolocene,expt
midHolocene,2.624007,midHolocene,expt
midHolocene,3.1087437,midHolocene,expt
midHolocene,2.3801868,midHolocene,expt
midHolocene,3.1286113,midHolocene,expt
piControl,2.5259416,midHolocene,ctl
piControl,2.919864,midHolocene,ctl
piControl,2.9926403,midHolocene,ctl
piControl,2.8439717,midHolocene,ctl
piControl,1.8650436,midHolocene,ctl
piControl,0.93532073,midHolocene,ctl
piControl,1.0592114,midHolocene,ctl
piControl,2.0640786,midHolocene,ctl
piControl,2.7654898,midHolocene,ctl
piControl,2.7484558,midHolocene,ctl
piControl,1.3559366,midHolocene,ctl
piControl,2.3305147,midHolocene,ctl
piControl,2.8713222,midHolocene,ctl
piControl,2.29744,midHolocene,ctl
piControl,1.7931906,midHolocene,ctl
piControl,1.9143506,midHolocene,ctl
piControl,2.107633,midHolocene,ctl
piControl,1.8671948,midHolocene,ctl
piControl,1.6452757,midHolocene,ctl
piControl,2.6540318,midHolocene,ctl
piControl,2.6083155,midHolocene,ctl
piControl,2.9768903,midHolocene,ctl
piControl,0.9886717,midHolocene,ctl
piControl,1.7840713,midHolocene,ctl
piControl,2.257988,midHolocene,ctl
piControl,2.2539582,midHolocene,ctl
piControl,2.9343572,midHolocene,ctl
piControl,2.4215832,midHolocene,ctl
piControl,2.379036,midHolocene,ctl
piControl,2.842496,midHolocene,ctl
piControl,2.431405,midHolocene,ctl
piControl,2.629419,midHolocene,ctl
lig127k,1.9084355,lig127k,expt
lig127k,2.1051178,lig127k,expt
lig127k,2.3570518,lig127k,expt
lig127k,2.7432015,lig127k,expt
lig127k,2.1102147,lig127k,expt
lig127k,2.2426574,lig127k,expt
lig127k,1.9056638,lig127k,expt
lig127k,1.5118421,lig127k,expt
lig127k,2.438943,lig127k,expt
lig127k,1.1629529,lig127k,expt
lig127k,2.164595,lig127k,expt
lig127k,2.8284612,lig127k,expt
lig127k,2.6620724,lig127k,expt
lig127k,2.3137722,lig127k,expt
piControl,2.5259416,lig127k,ctl
piControl,2.2432063,lig127k,ctl
piControl,2.7654898,lig127k,ctl
piControl,2.7484558,lig127k,ctl
piControl,2.3305147,lig127k,ctl
piControl,2.29744,lig127k,ctl
piControl,1.8671948,lig127k,ctl
piControl,1.6452757,lig127k,ctl
piControl,2.6083155,lig127k,ctl
piControl,0.9886717,lig127k,ctl
piControl,2.2539582,lig127k,ctl
piControl,2.379036,lig127k,ctl
piControl,2.842496,lig127k,ctl
piControl,2.431405,lig127k,ctl
lgm,2.033124,lgm,expt
lgm,1.7548668,lgm,expt
lgm,1.5413923,lgm,expt
lgm,2.5536218,lgm,expt
lgm,1.1788368,lgm,expt
lgm,1.194281,lgm,expt
lgm,1.8167189,lgm,expt
lgm,1.2785145,lgm,expt
lgm,1.4002974,lgm,expt
lgm,1.9038408,lgm,expt
lgm,1.5650305,lgm,expt
lgm,1.3575052,lgm,expt
lgm,1.0223187,lgm,expt
piControl,2.5259416,lgm,ctl
piControl,2.9926403,lgm,ctl
piControl,1.8650436,lgm,ctl
piControl,2.7823346,lgm,ctl
piControl,1.3559366,lgm,ctl
piControl,1.7931906,lgm,ctl
piControl,1.6452757,lgm,ctl
piControl,2.6540318,lgm,ctl
piControl,0.9886717,lgm,ctl
piControl,1.7840713,lgm,ctl
piControl,2.257988,lgm,ctl
piControl,2.9343572,lgm,ctl
piControl,2.629419,lgm,ctl
abrupt4xCO2,2.744379,abrupt4xCO2,expt
abrupt4xCO2,2.8135405,abrupt4xCO2,expt
abrupt4xCO2,2.3175936,abrupt4xCO2,expt
abrupt4xCO2,1.7308753,abrupt4xCO2,expt
abrupt4xCO2,2.8135574,abrupt4xCO2,expt
abrupt4xCO2,1.6318026,abrupt4xCO2,expt
abrupt4xCO2,1.1154933,abrupt4xCO2,expt
abrupt4xCO2,2.62522,abrupt4xCO2,expt
abrupt4xCO2,1.5838513,abrupt4xCO2,expt
abrupt4xCO2,2.6670432,abrupt4xCO2,expt
abrupt4xCO2,2.954748,abrupt4xCO2,expt
abrupt4xCO2,2.705324,abrupt4xCO2,expt
abrupt4xCO2,2.1144304,abrupt4xCO2,expt
abrupt4xCO2,2.4813876,abrupt4xCO2,expt
abrupt4xCO2,1.9690583,abrupt4xCO2,expt
abrupt4xCO2,1.8833369,abrupt4xCO2,expt
abrupt4xCO2,2.695729,abrupt4xCO2,expt
abrupt4xCO2,2.5139885,abrupt4xCO2,expt
abrupt4xCO2,1.2408231,abrupt4xCO2,expt
abrupt4xCO2,1.3020774,abrupt4xCO2,expt
abrupt4xCO2,2.9957688,abrupt4xCO2,expt
abrupt4xCO2,2.365862,abrupt4xCO2,expt
abrupt4xCO2,2.8505716,abrupt4xCO2,expt
abrupt4xCO2,2.456083,abrupt4xCO2,expt
abrupt4xCO2,2.3385997,abrupt4xCO2,expt
piControl,2.919864,abrupt4xCO2,ctl
piControl,2.9926403,abrupt4xCO2,ctl
piControl,2.8439717,abrupt4xCO2,ctl
piControl,1.8650436,abrupt4xCO2,ctl
piControl,2.2432063,abrupt4xCO2,ctl
piControl,0.93532073,abrupt4xCO2,ctl
piControl,1.0592114,abrupt4xCO2,ctl
