,experiment,Explained variance,ensemble,run
0,midHolocene,47.2,midHolocene,expt
1,midHolocene,39.4,midHolocene,expt
2,midHolocene,41.8,midHolocene,expt
3,midHolocene,43.2,midHolocene,expt
4,midHolocene,38.8,midHolocene,expt
5,midHolocene,48.5,midHolocene,expt
6,midHolocene,40.4,midHolocene,expt
7,midHolocene,34.5,midHolocene,expt
8,midHolocene,43.9,midHolocene,expt
9,midHolocene,41.3,midHolocene,expt
10,midHolocene,33.2,midHolocene,expt
11,midHolocene,41.6,midHolocene,expt
12,midHolocene,42.4,midHolocene,expt
13,midHolocene,47,midHolocene,expt
14,midHolocene,44.8,midHolocene,expt
15,midHolocene,43.9,midHolocene,expt
16,midHolocene,38.7,midHolocene,expt
17,midHolocene,39.8,midHolocene,expt
18,midHolocene,34.8,midHolocene,expt
19,midHolocene,44.2,midHolocene,expt
20,midHolocene,46.9,midHolocene,expt
21,midHolocene,51.8,midHolocene,expt
22,midHolocene,35.2,midHolocene,expt
23,midHolocene,48.6,midHolocene,expt
24,midHolocene,45.6,midHolocene,expt
25,midHolocene,41.6,midHolocene,expt
26,midHolocene,37.7,midHolocene,expt
27,midHolocene,40.4,midHolocene,expt
28,midHolocene,43.7,midHolocene,expt
29,midHolocene,48.4,midHolocene,expt
30,midHolocene,40.4,midHolocene,expt
31,midHolocene,47.1,midHolocene,expt
32,piControl,46.6,midHolocene,ctl
33,piControl,38.1,midHolocene,ctl
34,piControl,43.2,midHolocene,ctl
35,piControl,43,midHolocene,ctl
36,piControl,37.4,midHolocene,ctl
37,piControl,40.4,midHolocene,ctl
38,piControl,39.6,midHolocene,ctl
39,piControl,41.6,midHolocene,ctl
40,piControl,45.7,midHolocene,ctl
41,piControl,40.5,midHolocene,ctl
42,piControl,34.3,midHolocene,ctl
43,piControl,41.1,midHolocene,ctl
44,piControl,41.7,midHolocene,ctl
45,piControl,44.1,midHolocene,ctl
46,piControl,40.4,midHolocene,ctl
47,piControl,37.1,midHolocene,ctl
48,piControl,38.9,midHolocene,ctl
49,piControl,43.7,midHolocene,ctl
50,piControl,35.7,midHolocene,ctl
51,piControl,43.7,midHolocene,ctl
52,piControl,44.8,midHolocene,ctl
53,piControl,45.7,midHolocene,ctl
54,piControl,37.1,midHolocene,ctl
55,piControl,46.8,midHolocene,ctl
56,piControl,43.5,midHolocene,ctl
57,piControl,41.3,midHolocene,ctl
58,piControl,37.9,midHolocene,ctl
59,piControl,42.6,midHolocene,ctl
60,piControl,38.5,midHolocene,ctl
61,piControl,42.4,midHolocene,ctl
62,piControl,44.9,midHolocene,ctl
63,piControl,37,midHolocene,ctl
64,lig127k,40.6,lig127k,expt
65,lig127k,41.5,lig127k,expt
66,lig127k,43.1,lig127k,expt
67,lig127k,43,lig127k,expt
68,lig127k,39.9,lig127k,expt
69,lig127k,47.7,lig127k,expt
70,lig127k,46.3,lig127k,expt
71,lig127k,38.3,lig127k,expt
72,lig127k,43.7,lig127k,expt
73,lig127k,45.8,lig127k,expt
74,lig127k,43.4,lig127k,expt
75,lig127k,46.7,lig127k,expt
76,lig127k,43,lig127k,expt
77,lig127k,44.3,lig127k,expt
78,piControl,46.6,lig127k,ctl
79,piControl,39.9,lig127k,ctl
80,piControl,45.7,lig127k,ctl
81,piControl,40.5,lig127k,ctl
82,piControl,41.1,lig127k,ctl
83,piControl,44.1,lig127k,ctl
84,piControl,43.7,lig127k,ctl
85,piControl,35.7,lig127k,ctl
86,piControl,44.8,lig127k,ctl
87,piControl,37.1,lig127k,ctl
88,piControl,41.3,lig127k,ctl
89,piControl,38.5,lig127k,ctl
90,piControl,42.4,lig127k,ctl
91,piControl,44.9,lig127k,ctl
92,lgm,42.1,lgm,expt
93,lgm,35.4,lgm,expt
94,lgm,36.6,lgm,expt
95,lgm,48.5,lgm,expt
96,lgm,43.5,lgm,expt
97,lgm,39.5,lgm,expt
98,lgm,39,lgm,expt
99,lgm,33,lgm,expt
100,lgm,45.5,lgm,expt
101,lgm,42.1,lgm,expt
102,lgm,36.7,lgm,expt
103,lgm,37.5,lgm,expt
104,lgm,34.9,lgm,expt
105,piControl,46.6,lgm,ctl
106,piControl,43.2,lgm,ctl
107,piControl,37.4,lgm,ctl
108,piControl,52,lgm,ctl
109,piControl,34.3,lgm,ctl
110,piControl,40.4,lgm,ctl
111,piControl,35.7,lgm,ctl
112,piControl,43.7,lgm,ctl
113,piControl,37.1,lgm,ctl
114,piControl,46.8,lgm,ctl
115,piControl,43.5,lgm,ctl
116,piControl,37.9,lgm,ctl
